期号,红球,蓝球
23087,"['2', '9', '15', '17', '28', '33']",1
23088,"['1', '14', '18', '26', '31', '33']",5
23089,"['8', '13', '15', '27', '28', '31']",11
23090,"['1', '2', '9', '26', '30', '31']",7
23091,"['16', '20', '22', '26', '30', '32']",16
23092,"['3', '12', '24', '25', '32', '33']",13
23093,"['10', '21', '24', '25', '27', '32']",7
23094,"['6', '10', '12', '14', '30', '31']",12
23095,"['3', '8', '16', '17', '22', '26']",11
23096,"['8', '11', '18', '26', '31', '32']",15
23097,"['1', '9', '14', '19', '29', '30']",15
23098,"['2', '10', '11', '14', '21', '27']",11
23099,"['9', '11', '14', '19', '27', '33']",5
23100,"['5', '6', '12', '15', '23', '25']",4
23101,"['1', '5', '9', '15', '18', '26']",4
23102,"['1', '9', '10', '13', '21', '28']",10
23103,"['5', '6', '13', '24', '25', '29']",15
23104,"['10', '19', '23', '25', '30', '31']",12
23105,"['1', '3', '5', '26', '30', '32']",16
23106,"['7', '9', '10', '20', '22', '24']",7
23107,"['3', '7', '18', '25', '29', '33']",14
23108,"['1', '3', '6', '8', '18', '24']",9
23109,"['6', '8', '10', '13', '16', '28']",13
23110,"['2', '6', '20', '25', '29', '33']",16
23111,"['5', '6', '12', '17', '20', '33']",9
23112,"['9', '12', '13', '22', '24', '31']",4
23113,"['1', '2', '13', '18', '25', '27']",3
23114,"['7', '9', '15', '16', '17', '26']",9
23115,"['2', '7', '16', '21', '26', '27']",16
23116,"['2', '8', '9', '13', '24', '27']",12
